run_id,sample_ID,year,month,day,sample_type,location,site,site_type,replicate,barcode,protocol
S_69,C210603RFASM,2021,6,3,tank,,reef tank,,A,MiSebastes,Min
S_70,C210603RFBSM,2021,6,3,tank,,reef tank,,B,MiSebastes,Min
S_71,C210603RFCSM,2021,6,3,tank,,reef tank,,C,MiSebastes,Min
S_72,C210603RFDSM,2021,6,3,tank,,reef tank,,D,MiSebastes,Min
S_65,C210603TDASM,2021,6,3,tank,,tidepool tank,,A,MiSebastes,Min
S_66,C210603TDBSM,2021,6,3,tank,,tidepool tank,,B,MiSebastes,Min
S_67,C210603TDCSM,2021,6,3,tank,,tidepool tank,,C,MiSebastes,Min
S_68,C210603TDDSM,2021,6,3,tank,,tidepool tank,,D,MiSebastes,Min
S_73,C21PCRNC1SM,2021,,,negative control,,pcr,,,MiSebastes,Min
